step,mass_a,mass_b,mass_diff,clip_low_a,clip_low_b,clip_high_a,clip_high_b,max_abs,max_rel,l2_abs
40,9.7080073280433776e-01,9.7080073280433743e-01,-3.331e-16,0,0,568,569,1.234568e-13,1.234570e-13,4.915065e-15
80,9.7080073280433843e-01,9.7080073280433721e-01,-1.221e-15,0,0,292,292,7.205347e-14,7.210505e-14,7.615742e-15
120,9.7080073280433921e-01,9.7080073280433732e-01,-1.887e-15,0,0,165,166,3.915757e-13,3.915765e-13,2.361595e-14
160,9.7080073280433965e-01,9.7080073280433710e-01,-2.554e-15,0,0,87,89,1.572964e-12,1.653825e-12,6.677311e-14
200,9.7080073280434009e-01,9.7080073280433643e-01,-3.664e-15,0,0,0,0,2.917599e-11,2.927136e-11,6.822888e-13
240,9.7080073280434065e-01,9.7080073280433532e-01,-5.329e-15,0,0,0,0,2.280167e-10,2.294803e-10,7.207874e-12
280,9.7080073280433932e-01,9.7080073280433432e-01,-4.996e-15,0,0,0,0,6.363121e-11,6.367322e-11,3.128625e-12
320,9.7080073280433932e-01,9.7080073280433421e-01,-5.107e-15,0,0,0,0,1.003689e-10,1.004407e-10,4.345631e-12
360,9.7080073280433954e-01,9.7080073280433499e-01,-4.552e-15,0,0,0,0,1.483333e-10,1.483468e-10,7.571417e-12
400,9.7080073280433932e-01,9.7080073280433410e-01,-5.218e-15,0,0,0,0,6.230834e-10,6.230834e-10,2.720089e-11
440,9.7080073280433887e-01,9.7080073280433432e-01,-4.552e-15,0,0,0,0,1.608323e-09,1.630431e-09,7.186736e-11
480,9.7080073280433865e-01,9.7080073280433343e-01,-5.218e-15,0,0,0,0,1.734236e-08,1.734238e-08,4.894530e-10
520,9.7080073280433798e-01,9.7080073280433299e-01,-4.996e-15,0,0,0,0,1.079806e-08,1.079832e-08,3.360584e-10
560,9.7080073280433687e-01,9.7080073280433465e-01,-2.220e-15,0,0,0,0,4.498674e-07,4.499520e-07,1.100608e-08
600,9.7080073280433676e-01,9.7080073280433443e-01,-2.331e-15,0,0,0,0,2.699105e-06,2.701044e-06,9.859912e-08
640,9.7080073280433665e-01,9.7080073280433343e-01,-3.220e-15,0,0,0,0,1.478025e-05,1.479496e-05,3.974233e-07
680,9.7080073280433687e-01,9.7080073280433410e-01,-2.776e-15,0,0,0,0,4.212211e-05,4.259955e-05,1.174244e-06
720,9.7080073280433732e-01,9.7080073280433477e-01,-2.554e-15,0,0,0,0,3.732111e-04,3.994210e-04,1.917106e-05
760,9.7080073280433865e-01,9.7080073280433499e-01,-3.664e-15,0,0,0,0,2.836232e-03,3.046850e-03,1.248566e-04
800,9.7080073280433821e-01,9.7080073280433554e-01,-2.665e-15,0,0,0,0,2.599745e-02,2.836952e-02,7.328143e-04
