step,mass_a,mass_b,mass_diff,clip_low_a,clip_low_b,clip_high_a,clip_high_b,max_abs,max_rel,l2_abs
40,9.7080073280433776e-01,9.7080073280433743e-01,-3.331e-16,0,0,568,569,1.375566e-13,1.375568e-13,5.330391e-15
80,9.7080073280433843e-01,9.7080073280433721e-01,-1.221e-15,0,0,292,293,8.060219e-14,8.060219e-14,7.921165e-15
120,9.7080073280433921e-01,9.7080073280433843e-01,-7.772e-16,0,0,165,164,2.715606e-13,2.715606e-13,1.699061e-14
160,9.7080073280433965e-01,9.7080073280433909e-01,-5.551e-16,0,0,87,89,1.582401e-12,1.663747e-12,6.301588e-14
200,9.7080073280434009e-01,9.7080073280433843e-01,-1.665e-15,0,0,0,0,3.814171e-12,3.826639e-12,9.256791e-14
240,9.7080073280434065e-01,9.7080073280433921e-01,-1.443e-15,0,0,0,0,3.192346e-11,3.212837e-11,1.046225e-12
280,9.7080073280433932e-01,9.7080073280433776e-01,-1.554e-15,0,0,0,0,9.641066e-12,9.647430e-12,4.216474e-13
320,9.7080073280433932e-01,9.7080073280433787e-01,-1.443e-15,0,0,0,0,5.356904e-11,5.356904e-11,1.951782e-12
360,9.7080073280433954e-01,9.7080073280433787e-01,-1.665e-15,0,0,0,0,7.909706e-11,7.909706e-11,4.132746e-12
400,9.7080073280433932e-01,9.7080073280433721e-01,-2.109e-15,0,0,0,0,6.178622e-10,6.178622e-10,2.538038e-11
440,9.7080073280433887e-01,9.7080073280433754e-01,-1.332e-15,0,0,0,0,1.359181e-09,1.359182e-09,7.136682e-11
480,9.7080073280433865e-01,9.7080073280433654e-01,-2.109e-15,0,0,0,0,2.073023e-08,2.073025e-08,5.618516e-10
520,9.7080073280433798e-01,9.7080073280433687e-01,-1.110e-15,0,0,0,0,1.567534e-08,1.567571e-08,4.433652e-10
560,9.7080073280433687e-01,9.7080073280433554e-01,-1.332e-15,0,0,0,0,5.897478e-07,5.898586e-07,1.436131e-08
600,9.7080073280433676e-01,9.7080073280433532e-01,-1.443e-15,0,0,0,0,3.465202e-06,3.467692e-06,1.262003e-07
640,9.7080073280433665e-01,9.7080073280433477e-01,-1.887e-15,0,0,0,0,1.826971e-05,1.828790e-05,4.981460e-07
680,9.7080073280433687e-01,9.7080073280433521e-01,-1.665e-15,0,0,0,0,5.982902e-05,6.050716e-05,1.653787e-06
720,9.7080073280433732e-01,9.7080073280433454e-01,-2.776e-15,0,0,0,0,5.074805e-04,5.394790e-04,2.713076e-05
760,9.7080073280433865e-01,9.7080073280433343e-01,-5.218e-15,0,0,0,0,3.238709e-03,3.479215e-03,1.539588e-04
800,9.7080073280433821e-01,9.7080073280433254e-01,-5.662e-15,0,0,0,0,2.978401e-02,3.250156e-02,8.574445e-04
