step,mass_a,mass_b,mass_diff,clip_low_a,clip_low_b,clip_high_a,clip_high_b,max_abs,max_rel,l2_abs
40,9.7080073280433776e-01,9.7080073280433810e-01,3.331e-16,0,0,568,568,1.301181e-13,1.301183e-13,3.819305e-15
80,9.7080073280433843e-01,9.7080073280433887e-01,4.441e-16,0,0,292,292,1.063594e-13,1.065182e-13,5.177891e-15
120,9.7080073280433921e-01,9.7080073280433909e-01,-1.110e-16,0,0,165,166,2.616796e-13,2.616796e-13,1.538583e-14
160,9.7080073280433965e-01,9.7080073280433932e-01,-3.331e-16,0,0,87,88,4.030998e-12,4.238218e-12,1.420882e-13
200,9.7080073280434009e-01,9.7080073280433954e-01,-5.551e-16,0,0,0,0,3.077671e-11,3.087732e-11,7.210293e-13
240,9.7080073280434065e-01,9.7080073280433921e-01,-1.443e-15,0,0,0,0,2.378835e-10,2.394104e-10,7.553592e-12
280,9.7080073280433932e-01,9.7080073280433998e-01,6.661e-16,0,0,0,0,6.642431e-11,6.646816e-11,3.360151e-12
320,9.7080073280433932e-01,9.7080073280434032e-01,9.992e-16,0,0,0,0,5.420746e-10,5.420746e-10,2.138904e-11
360,9.7080073280433954e-01,9.7080073280433943e-01,-1.110e-16,0,0,0,0,3.013567e-09,3.013567e-09,1.599300e-10
400,9.7080073280433932e-01,9.7080073280433987e-01,5.551e-16,0,0,0,0,1.238483e-08,1.238483e-08,5.263858e-10
440,9.7080073280433887e-01,9.7080073280434054e-01,1.665e-15,0,0,0,0,7.986185e-08,7.986186e-08,1.934243e-09
480,9.7080073280433865e-01,9.7080073280433965e-01,9.992e-16,0,0,0,0,4.297871e-08,4.297876e-08,1.587512e-09
520,9.7080073280433798e-01,9.7080073280433976e-01,1.776e-15,0,0,0,0,7.403946e-08,7.403970e-08,3.711703e-09
560,9.7080073280433687e-01,9.7080073280433954e-01,2.665e-15,0,0,0,0,9.226353e-07,9.228087e-07,2.441165e-08
600,9.7080073280433676e-01,9.7080073280434032e-01,3.553e-15,0,0,0,0,6.253597e-06,6.258090e-06,2.320887e-07
640,9.7080073280433665e-01,9.7080073280434009e-01,3.442e-15,0,0,0,0,7.412618e-05,7.417765e-05,1.854576e-06
680,9.7080073280433687e-01,9.7080073280434009e-01,3.220e-15,0,0,0,0,2.454994e-05,2.509510e-05,1.378289e-06
720,9.7080073280433732e-01,9.7080073280434076e-01,3.442e-15,0,0,0,0,1.088225e-03,1.164649e-03,3.494903e-05
760,9.7080073280433865e-01,9.7080073280434054e-01,1.887e-15,0,0,0,0,5.453714e-03,6.548031e-03,2.955356e-04
800,9.7080073280433821e-01,9.7080073280434021e-01,1.998e-15,0,0,0,0,3.258398e-02,3.743417e-02,1.739058e-03
